t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,6,6,6,0,0,0,0,25.26,101.72,101.72
1,18,18,18,0,0,0,0,30.16,33.74,40.8
2,32,32,32,0,0,0,0,26.42,32.39,34.45
3,43,43,43,0,0,0,0,29.84,36.07,37.65
4,56,56,56,0,0,0,0,29.87,37.4,38.22
5,69,69,69,0,0,0,0,34.27,55.6,57.39
6,81,81,55,26,0,0,0,518.28,844.92,978.81
7,94,94,6,88,0,0,0,684.28,985.39,1167.21
8,107,107,0,107,0,0,0,833.61,1219.0,1366.43
9,118,118,0,118,0,0,0,1080.82,1324.97,1471.93
10,125,125,0,125,0,0,0,1272.03,1623.36,1872.66
11,125,125,0,125,0,0,0,1530.52,1935.94,2103.81
12,125,125,0,125,0,0,0,1735.18,2273.59,2425.27
13,125,125,0,125,0,0,0,2011.02,2480.02,2700.02
14,125,125,0,125,0,0,0,2237.85,2926.48,3193.34
15,102,102,0,102,0,0,0,2497.27,3523.44,4571.06
16,102,102,0,102,0,0,0,3963.91,4926.98,4999.13
17,94,94,0,94,0,0,0,5154.78,6774.26,7638.4
18,66,66,0,66,0,0,0,6756.79,14621.25,15190.72
19,25,25,0,25,0,0,0,12427.54,13800.82,14395.07
20,36,36,0,36,0,0,0,12069.48,13879.42,14082.01
21,48,48,0,48,0,0,0,11076.18,13022.47,13723.26
22,39,39,0,39,0,0,0,10053.95,11636.45,12650.81
23,26,26,0,26,0,0,0,9278.86,10427.82,10984.02
24,32,32,0,32,0,0,0,7847.18,9675.95,10491.28
25,29,29,0,29,0,0,0,7041.71,9356.88,9835.87
26,2,2,0,2,0,0,0,2113.16,4596.99,4596.99
27,5,5,0,5,0,0,0,1610.34,5588.62,5588.62
28,8,8,0,8,0,0,0,1652.97,5194.15,5194.15
29,20,20,0,20,0,0,0,1563.07,4086.3,4468.63
30,22,22,0,22,0,0,0,3224.18,4174.19,4541.39
31,37,37,0,37,0,0,0,3990.71,5757.42,6099.39
32,120,120,67,53,0,0,0,7571.33,17248.74,28398.27
33,59,59,52,7,0,0,0,9356.93,17086.48,23626.42
34,37,37,35,2,0,0,0,7520.94,14985.32,18095.91
35,27,27,24,3,0,0,0,7052.02,17779.17,18237.83
36,23,23,22,1,0,0,0,6103.61,11144.16,15010.31
37,18,18,18,0,0,0,0,4625.64,8814.98,26941.18
38,25,25,24,1,0,0,0,4523.61,11430.12,23695.86
39,25,25,19,6,0,0,0,3846.67,12338.91,17636.05
40,37,37,34,3,0,0,0,2378.61,9861.97,11817.95
41,54,54,52,2,0,0,0,2034.23,9735.11,16417.97
42,79,79,72,7,0,0,0,1428.79,15266.8,17247.7
43,91,91,78,13,0,0,0,2489.28,8443.06,12529.03
44,67,67,52,15,0,0,0,2417.08,11917.79,15169.13
45,72,72,53,19,0,0,0,2429.28,10116.23,14753.52
46,67,67,40,27,0,0,0,2848.4,13032.16,14005.45
47,60,60,30,30,0,0,0,3198.08,10697.8,16626.43
48,51,51,20,31,0,0,0,1919.09,8819.16,11348.63
49,71,71,51,20,0,0,0,7705.04,14402.3,23437.03
50,57,57,57,0,0,0,0,6987.07,20444.78,20880.06
51,47,47,47,0,0,0,0,6848.28,12511.38,17646.65
52,29,29,28,1,0,0,0,5039.68,13120.5,19823.06
53,12,12,12,0,0,0,0,4220.66,9034.45,10030.68
54,12,12,12,0,0,0,0,3535.63,14912.04,16705.42
55,27,27,27,0,0,0,0,2849.07,7629.19,8844.47
56,48,48,47,1,0,0,0,1099.68,8463.88,21447.93
57,109,109,106,3,0,0,0,1746.84,9847.33,15293.79
58,75,75,72,3,0,0,0,1479.32,7145.45,14552.86
59,91,91,85,6,0,0,0,2045.47,11343.51,13273.97
60,84,84,79,5,0,0,0,2438.69,11949.55,15700.93
61,84,84,74,10,0,0,0,1974.46,10529.29,13352.09
62,74,74,61,13,0,0,0,2826.51,12459.8,18699.04
63,78,78,59,19,0,0,0,1761.15,9685.82,14987.54
64,92,92,68,24,0,0,0,4057.03,11929.85,17553.27
65,72,72,52,20,0,0,0,4822.69,13480.4,15931.74
66,16,16,15,1,0,0,0,5562.36,11757.56,12308.01
67,24,24,24,0,0,0,0,2879.24,6504.97,10151.65
68,33,33,32,1,0,0,0,3110.68,11721.76,18442.38
69,32,32,32,0,0,0,0,2952.45,7882.19,11226.66
70,58,58,56,2,0,0,0,1463.89,7581.99,11274.89
71,114,114,109,5,0,0,0,1390.58,9109.16,11386.57
72,130,130,119,11,0,0,0,1458.51,11458.17,18052.18
73,117,117,100,17,0,0,0,1357.85,9357.97,10716.81
74,69,69,54,15,0,0,0,3479.05,9878.85,13320.31
75,31,31,25,6,0,0,0,1574.25,10527.9,11772.8
76,62,62,50,11,0,1,0,3594.05,10343.5,16496.3
77,46,46,35,11,0,0,0,2729.79,6953.12,14548.3
78,45,45,30,15,0,0,0,1815.42,7878.97,9061.06
79,88,88,56,32,0,0,0,1589.67,7370.89,10894.52
80,118,118,58,60,0,0,0,1863.03,13033.82,17943.45
81,83,83,12,71,0,0,0,2351.38,6076.33,13663.21
82,69,69,29,40,0,0,0,8151.86,15051.1,15234.78
83,52,52,29,23,0,0,0,7971.83,12844.7,17649.14
84,46,46,18,28,0,0,0,8663.34,11420.63,13739.9
85,32,32,14,18,0,0,0,8143.42,18298.19,31793.76
86,24,24,12,12,0,0,0,5909.2,9335.16,11914.58
87,14,14,7,7,0,0,0,5960.08,9758.33,12761.49
88,17,17,10,7,0,0,0,3040.09,7581.01,8998.64
89,26,26,12,14,0,0,0,3864.81,9667.03,10369.87
90,50,50,14,36,0,0,0,3161.96,7264.87,17431.06
91,55,55,6,49,0,0,0,2403.71,5777.91,6613.44
92,32,32,2,30,0,0,0,1995.11,5975.94,8731.3
93,87,87,70,17,0,0,0,9277.11,17356.2,21371.82
94,50,50,42,8,0,0,0,8833.4,17140.28,17809.21
95,38,38,30,8,0,0,0,7996.17,15543.53,20865.41
96,32,32,30,2,0,0,0,7033.51,9243.42,14394.29
97,26,26,23,3,0,0,0,5646.14,12992.62,15691.82
98,19,19,18,1,0,0,0,4239.13,7323.41,10638.34
99,16,16,14,2,0,0,0,3671.17,13504.85,17773.51
100,21,21,18,3,0,0,0,2834.11,8143.62,19258.54
101,34,34,28,6,0,0,0,1687.59,9227.42,10964.37
102,79,79,66,13,0,0,0,1407.79,7932.36,10773.79
103,130,130,94,36,0,0,0,1725.58,8891.25,15194.22
104,89,89,54,35,0,0,0,2272.47,11850.3,15533.7
105,70,70,31,39,0,0,0,3936.85,9285.73,16519.25
106,59,59,15,44,0,0,0,3578.0,13455.36,20415.76
107,33,33,0,33,0,0,0,943.01,5082.51,14103.13
