t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,3,3,3,0,0,0,0,32.56,108.34,108.34
1,11,11,11,0,0,0,0,28.54,37.66,59.17
2,19,19,19,0,0,0,0,33.6,50.46,68.24
3,26,26,26,0,0,0,0,33.61,64.12,66.28
4,34,34,34,0,0,0,0,31.25,46.76,53.19
5,41,41,41,0,0,0,0,31.33,46.11,50.16
6,49,49,49,0,0,0,0,29.2,36.05,37.92
7,56,56,56,0,0,0,0,35.41,78.84,83.79
8,64,64,64,0,0,0,0,34.88,42.79,43.5
9,71,71,71,0,0,0,0,35.78,43.68,43.91
10,75,75,75,0,0,0,0,36.15,43.69,45.42
11,75,75,75,0,0,0,0,37.48,44.9,48.88
12,75,75,73,2,0,0,0,364.59,627.51,690.71
13,75,75,75,0,0,0,0,339.93,513.99,544.93
14,75,75,75,0,0,0,0,119.39,241.7,347.58
15,75,75,75,0,0,0,0,37.01,48.31,49.43
16,75,75,75,0,0,0,0,35.77,43.52,46.43
17,75,75,75,0,0,0,0,37.41,44.3,45.47
18,75,75,75,0,0,0,0,38.03,44.98,48.29
19,75,75,75,0,0,0,0,36.95,43.98,46.74
20,75,75,75,0,0,0,0,35.42,46.74,50.78
21,75,75,75,0,0,0,0,37.44,44.48,45.82
22,75,75,75,0,0,0,0,35.15,42.8,49.82
23,75,75,75,0,0,0,0,36.32,44.22,47.28
24,75,75,75,0,0,0,0,40.85,65.26,69.77
25,75,75,75,0,0,0,0,146.24,258.26,286.12
26,75,75,75,0,0,0,0,39.26,117.77,130.69
27,75,75,75,0,0,0,0,37.0,45.39,45.96
28,75,75,75,0,0,0,0,36.49,41.76,44.46
29,75,75,75,0,0,0,0,36.32,44.12,48.09
30,75,75,75,0,0,0,0,36.49,44.69,49.84
31,75,75,75,0,0,0,0,36.33,44.82,46.32
32,75,75,75,0,0,0,0,39.3,89.05,100.44
33,75,75,75,0,0,0,0,31.4,36.04,40.98
34,75,75,75,0,0,0,0,31.3,40.39,44.78
35,75,75,75,0,0,0,0,35.11,41.72,45.98
36,75,75,75,0,0,0,0,39.1,49.72,55.08
37,75,75,75,0,0,0,0,36.99,45.18,45.86
38,75,75,75,0,0,0,0,34.84,42.7,44.71
39,75,75,75,0,0,0,0,34.24,41.88,42.43
40,75,75,75,0,0,0,0,36.12,45.31,46.96
41,75,75,75,0,0,0,0,36.09,42.83,44.15
42,75,75,75,0,0,0,0,37.96,74.39,82.69
43,75,75,75,0,0,0,0,286.71,374.25,477.14
44,75,75,75,0,0,0,0,123.44,260.62,276.21
45,75,75,75,0,0,0,0,35.59,43.85,44.69
46,75,75,75,0,0,0,0,37.41,47.3,50.03
47,75,75,75,0,0,0,0,37.04,45.06,48.05
48,75,75,75,0,0,0,0,37.33,42.57,43.56
49,75,75,75,0,0,0,0,37.22,46.25,47.71
50,75,75,75,0,0,0,0,35.91,44.59,47.11
51,75,75,75,0,0,0,0,35.7,43.98,44.83
52,75,75,75,0,0,0,0,37.14,45.74,47.03
53,75,75,75,0,0,0,0,35.43,44.71,50.85
54,75,75,75,0,0,0,0,39.18,65.87,67.34
55,75,75,75,0,0,0,0,36.59,46.76,53.68
56,75,75,75,0,0,0,0,36.27,43.36,45.68
57,75,75,75,0,0,0,0,38.03,47.47,52.81
58,75,75,75,0,0,0,0,35.59,43.41,47.81
59,75,75,75,0,0,0,0,35.98,42.34,43.71
60,75,75,75,0,0,0,0,35.52,45.17,47.35
61,75,75,75,0,0,0,0,177.65,351.08,405.24
62,72,72,72,0,0,0,0,247.51,1198.71,1682.17
63,77,77,77,0,0,0,0,673.04,1748.66,1831.0
64,76,76,76,0,0,0,0,367.48,961.47,1277.93
65,75,75,75,0,0,0,0,110.06,286.41,406.5
66,75,75,75,0,0,0,0,103.88,246.23,265.59
67,75,75,75,0,0,0,0,37.4,44.22,45.1
68,75,75,75,0,0,0,0,38.95,49.16,50.14
69,75,75,75,0,0,0,0,37.99,43.55,47.27
