t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,1,1,1,0,0,0,0,90.14,90.14,90.14
1,1,1,1,0,0,0,0,29.28,29.28,29.28
2,1,1,1,0,0,0,0,27.41,27.41,27.41
3,1,1,1,0,0,0,0,34.47,34.47,34.47
4,1,1,1,0,0,0,0,32.09,32.09,32.09
5,1,1,1,0,0,0,0,23.69,23.69,23.69
6,1,1,1,0,0,0,0,25.16,25.16,25.16
7,1,1,1,0,0,0,0,32.87,32.87,32.87
8,1,1,1,0,0,0,0,31.44,31.44,31.44
9,1,1,1,0,0,0,0,26.71,26.71,26.71
10,1,1,1,0,0,0,0,26.22,26.22,26.22
11,1,1,1,0,0,0,0,30.59,30.59,30.59
12,1,1,1,0,0,0,0,30.99,30.99,30.99
13,1,1,1,0,0,0,0,23.24,23.24,23.24
14,1,1,1,0,0,0,0,25.59,25.59,25.59
15,1,1,1,0,0,0,0,30.65,30.65,30.65
16,1,1,1,0,0,0,0,39.02,39.02,39.02
17,1,1,1,0,0,0,0,22.85,22.85,22.85
18,1,1,1,0,0,0,0,24.48,24.48,24.48
19,1,1,1,0,0,0,0,33.76,33.76,33.76
20,1,1,1,0,0,0,0,28.82,28.82,28.82
21,1,1,1,0,0,0,0,27.8,27.8,27.8
22,1,1,1,0,0,0,0,25.78,25.78,25.78
23,1,1,1,0,0,0,0,32.86,32.86,32.86
24,1,1,1,0,0,0,0,35.33,35.33,35.33
25,2,2,2,0,0,0,0,25.84,38.07,38.07
26,1,1,1,0,0,0,0,56.76,56.76,56.76
27,1,1,1,0,0,0,0,28.26,28.26,28.26
28,1,1,1,0,0,0,0,23.04,23.04,23.04
29,1,1,1,0,0,0,0,24.26,24.26,24.26
30,1,1,1,0,0,0,0,30.07,30.07,30.07
31,1,1,1,0,0,0,0,59.54,59.54,59.54
32,1,1,1,0,0,0,0,29.75,29.75,29.75
33,1,1,1,0,0,0,0,27.22,27.22,27.22
34,1,1,1,0,0,0,0,31.07,31.07,31.07
35,1,1,1,0,0,0,0,30.84,30.84,30.84
36,1,1,1,0,0,0,0,26.97,26.97,26.97
37,1,1,1,0,0,0,0,22.63,22.63,22.63
38,1,1,1,0,0,0,0,31.38,31.38,31.38
39,1,1,1,0,0,0,0,31.53,31.53,31.53
40,1,1,1,0,0,0,0,25.6,25.6,25.6
41,1,1,1,0,0,0,0,27.2,27.2,27.2
42,1,1,1,0,0,0,0,32.7,32.7,32.7
43,1,1,1,0,0,0,0,30.28,30.28,30.28
44,1,1,1,0,0,0,0,25.31,25.31,25.31
45,1,1,1,0,0,0,0,29.02,29.02,29.02
46,1,1,1,0,0,0,0,31.25,31.25,31.25
47,1,1,1,0,0,0,0,30.3,30.3,30.3
48,1,1,1,0,0,0,0,27.79,27.79,27.79
49,1,1,1,0,0,0,0,40.2,40.2,40.2
50,2,2,2,0,0,0,0,35.43,39.01,39.01
51,1,1,1,0,0,0,0,24.9,24.9,24.9
52,1,1,1,0,0,0,0,22.91,22.91,22.91
53,1,1,1,0,0,0,0,29.65,29.65,29.65
54,1,1,1,0,0,0,0,36.22,36.22,36.22
55,1,1,1,0,0,0,0,26.84,26.84,26.84
56,1,1,1,0,0,0,0,29.41,29.41,29.41
57,1,1,1,0,0,0,0,34.99,34.99,34.99
58,1,1,1,0,0,0,0,34.13,34.13,34.13
59,1,1,1,0,0,0,0,35.57,35.57,35.57
60,1,1,1,0,0,0,0,24.27,24.27,24.27
61,1,1,1,0,0,0,0,34.28,34.28,34.28
62,1,1,1,0,0,0,0,33.66,33.66,33.66
63,1,1,1,0,0,0,0,31.1,31.1,31.1
64,1,1,1,0,0,0,0,26.67,26.67,26.67
65,1,1,1,0,0,0,0,34.04,34.04,34.04
66,1,1,1,0,0,0,0,35.73,35.73,35.73
67,1,1,1,0,0,0,0,26.36,26.36,26.36
