t_rel_s,peticiones,tps,ok,err_408_presupuesto,err_429_cuota,err_5xx,err_conexion,p50_ms,p95_ms,p99_ms
0,1,1,1,0,0,0,0,78.27,78.27,78.27
1,1,1,1,0,0,0,0,30.98,30.98,30.98
2,1,1,1,0,0,0,0,20.6,20.6,20.6
3,1,1,1,0,0,0,0,24.28,24.28,24.28
4,1,1,1,0,0,0,0,29.74,29.74,29.74
5,1,1,1,0,0,0,0,31.43,31.43,31.43
6,1,1,1,0,0,0,0,19.27,19.27,19.27
7,1,1,1,0,0,0,0,22.79,22.79,22.79
8,1,1,1,0,0,0,0,31.96,31.96,31.96
9,1,1,1,0,0,0,0,32.9,32.9,32.9
10,1,1,1,0,0,0,0,20.74,20.74,20.74
11,1,1,1,0,0,0,0,22.46,22.46,22.46
12,1,1,1,0,0,0,0,29.91,29.91,29.91
13,1,1,1,0,0,0,0,28.82,28.82,28.82
14,1,1,1,0,0,0,0,22.69,22.69,22.69
15,1,1,1,0,0,0,0,22.2,22.2,22.2
16,1,1,1,0,0,0,0,29.59,29.59,29.59
17,1,1,1,0,0,0,0,32.12,32.12,32.12
18,1,1,1,0,0,0,0,23.03,23.03,23.03
19,1,1,1,0,0,0,0,30.87,30.87,30.87
20,1,1,1,0,0,0,0,28.21,28.21,28.21
21,1,1,1,0,0,0,0,29.56,29.56,29.56
22,1,1,1,0,0,0,0,22.92,22.92,22.92
23,1,1,1,0,0,0,0,20.95,20.95,20.95
24,1,1,1,0,0,0,0,29.21,29.21,29.21
25,2,2,2,0,0,0,0,17.12,20.56,20.56
26,1,1,1,0,0,0,0,30.02,30.02,30.02
27,1,1,1,0,0,0,0,30.15,30.15,30.15
28,1,1,1,0,0,0,0,32.58,32.58,32.58
29,1,1,1,0,0,0,0,19.55,19.55,19.55
30,1,1,1,0,0,0,0,22.37,22.37,22.37
31,1,1,1,0,0,0,0,31.98,31.98,31.98
32,1,1,1,0,0,0,0,21.32,21.32,21.32
33,1,1,1,0,0,0,0,21.36,21.36,21.36
34,1,1,1,0,0,0,0,25.92,25.92,25.92
35,1,1,1,0,0,0,0,32.91,32.91,32.91
36,1,1,1,0,0,0,0,35.47,35.47,35.47
37,1,1,1,0,0,0,0,23.27,23.27,23.27
38,1,1,1,0,0,0,0,27.03,27.03,27.03
39,1,1,1,0,0,0,0,34.47,34.47,34.47
40,1,1,1,0,0,0,0,29.99,29.99,29.99
41,1,1,1,0,0,0,0,32.72,32.72,32.72
42,1,1,1,0,0,0,0,24.8,24.8,24.8
43,1,1,1,0,0,0,0,33.36,33.36,33.36
44,1,1,1,0,0,0,0,48.11,48.11,48.11
45,1,1,1,0,0,0,0,22.52,22.52,22.52
46,1,1,1,0,0,0,0,29.95,29.95,29.95
47,1,1,1,0,0,0,0,31.17,31.17,31.17
48,1,1,1,0,0,0,0,31.06,31.06,31.06
49,1,1,1,0,0,0,0,26.22,26.22,26.22
50,2,2,2,0,0,0,0,24.18,33.39,33.39
51,1,1,1,0,0,0,0,33.03,33.03,33.03
52,1,1,1,0,0,0,0,22.58,22.58,22.58
53,1,1,1,0,0,0,0,24.29,24.29,24.29
54,1,1,1,0,0,0,0,33.09,33.09,33.09
55,1,1,1,0,0,0,0,32.03,32.03,32.03
56,1,1,1,0,0,0,0,25.3,25.3,25.3
57,1,1,1,0,0,0,0,25.25,25.25,25.25
58,1,1,1,0,0,0,0,31.22,31.22,31.22
59,1,1,1,0,0,0,0,34.68,34.68,34.68
60,1,1,1,0,0,0,0,20.29,20.29,20.29
61,1,1,1,0,0,0,0,24.35,24.35,24.35
62,1,1,1,0,0,0,0,31.17,31.17,31.17
63,1,1,1,0,0,0,0,33.37,33.37,33.37
64,1,1,1,0,0,0,0,21.35,21.35,21.35
65,1,1,1,0,0,0,0,24.3,24.3,24.3
66,1,1,1,0,0,0,0,31.9,31.9,31.9
67,1,1,1,0,0,0,0,21.89,21.89,21.89
68,1,1,1,0,0,0,0,21.83,21.83,21.83
69,1,1,1,0,0,0,0,22.59,22.59,22.59
70,1,1,1,0,0,0,0,35.84,35.84,35.84
71,1,1,1,0,0,0,0,25.05,25.05,25.05
72,1,1,1,0,0,0,0,21.08,21.08,21.08
73,1,1,1,0,0,0,0,30.97,30.97,30.97
74,1,1,1,0,0,0,0,30.67,30.67,30.67
75,2,2,2,0,0,0,0,27.27,30.71,30.71
76,1,1,1,0,0,0,0,22.25,22.25,22.25
77,1,1,1,0,0,0,0,36.52,36.52,36.52
78,1,1,1,0,0,0,0,32.34,32.34,32.34
79,1,1,1,0,0,0,0,21.47,21.47,21.47
80,1,1,1,0,0,0,0,25.49,25.49,25.49
81,1,1,1,0,0,0,0,37.79,37.79,37.79
82,1,1,1,0,0,0,0,29.96,29.96,29.96
83,1,1,1,0,0,0,0,21.09,21.09,21.09
84,1,1,1,0,0,0,0,33.12,33.12,33.12
85,1,1,1,0,0,0,0,32.61,32.61,32.61
86,1,1,1,0,0,0,0,22.31,22.31,22.31
87,1,1,1,0,0,0,0,20.5,20.5,20.5
88,1,1,1,0,0,0,0,23.22,23.22,23.22
89,1,1,1,0,0,0,0,33.58,33.58,33.58
90,1,1,1,0,0,0,0,31.91,31.91,31.91
91,1,1,1,0,0,0,0,21.3,21.3,21.3
92,1,1,1,0,0,0,0,22.81,22.81,22.81
93,1,1,1,0,0,0,0,32.94,32.94,32.94
94,1,1,1,0,0,0,0,31.82,31.82,31.82
95,1,1,1,0,0,0,0,22.92,22.92,22.92
96,1,1,1,0,0,0,0,24.42,24.42,24.42
97,1,1,1,0,0,0,0,29.85,29.85,29.85
98,1,1,1,0,0,0,0,21.94,21.94,21.94
99,1,1,1,0,0,0,0,20.88,20.88,20.88
100,2,2,2,0,0,0,0,22.35,30.44,30.44
101,1,1,1,0,0,0,0,33.08,33.08,33.08
102,1,1,1,0,0,0,0,36.06,36.06,36.06
103,1,1,1,0,0,0,0,23.97,23.97,23.97
104,1,1,1,0,0,0,0,30.67,30.67,30.67
105,1,1,1,0,0,0,0,31.57,31.57,31.57
106,1,1,1,0,0,0,0,22.3,22.3,22.3
107,1,1,1,0,0,0,0,22.48,22.48,22.48
108,1,1,1,0,0,0,0,29.25,29.25,29.25
109,1,1,1,0,0,0,0,23.46,23.46,23.46
110,1,1,1,0,0,0,0,23.28,23.28,23.28
111,1,1,1,0,0,0,0,22.93,22.93,22.93
112,1,1,1,0,0,0,0,31.96,31.96,31.96
113,1,1,1,0,0,0,0,24.03,24.03,24.03
114,1,1,1,0,0,0,0,20.51,20.51,20.51
115,1,1,1,0,0,0,0,26.24,26.24,26.24
116,1,1,1,0,0,0,0,32.75,32.75,32.75
117,1,1,1,0,0,0,0,31.23,31.23,31.23
118,1,1,1,0,0,0,0,20.51,20.51,20.51
119,1,1,1,0,0,0,0,22.99,22.99,22.99
120,2,2,2,0,0,0,0,22.63,31.21,31.21
121,4,4,4,0,0,0,0,23.98,33.71,33.71
122,5,5,5,0,0,0,0,23.29,29.13,29.13
123,7,7,7,0,0,0,0,23.68,31.02,31.02
124,9,9,9,0,0,0,0,22.03,34.07,34.07
125,10,10,10,0,0,0,0,25.45,34.02,34.02
126,13,13,13,0,0,0,0,23.88,30.15,30.81
127,14,14,14,0,0,0,0,28.83,32.73,34.69
128,15,15,15,0,0,0,0,22.27,32.13,32.83
129,17,17,17,0,0,0,0,25.17,32.15,32.39
130,20,20,20,0,0,0,0,24.47,30.83,33.33
131,20,20,20,0,0,0,0,28.72,31.03,31.7
132,23,23,23,0,0,0,0,26.32,33.2,33.75
133,24,24,24,0,0,0,0,28.06,32.82,34.27
134,26,26,26,0,0,0,0,22.43,30.97,31.44
135,28,28,28,0,0,0,0,23.32,30.95,33.5
136,29,29,29,0,0,0,0,23.24,31.32,32.35
137,31,31,31,0,0,0,0,27.9,31.57,35.83
138,33,33,33,0,0,0,0,29.49,31.77,38.45
139,34,34,34,0,0,0,0,23.87,31.68,32.88
140,36,36,36,0,0,0,0,28.53,31.44,33.87
141,38,38,38,0,0,0,0,24.06,32.19,32.58
142,40,40,40,0,0,0,0,24.15,31.24,32.22
143,41,41,41,0,0,0,0,22.75,31.88,35.5
144,43,43,43,0,0,0,0,23.45,31.64,32.3
145,45,45,45,0,0,0,0,23.59,30.56,31.54
146,47,47,47,0,0,0,0,24.75,35.82,45.64
147,48,48,48,0,0,0,0,24.91,32.24,34.29
148,50,50,50,0,0,0,0,23.4,31.29,228.96
149,52,52,52,0,0,0,0,23.81,30.59,31.63
150,53,53,53,0,0,0,0,24.52,32.09,33.88
151,55,55,55,0,0,0,0,30.03,33.88,34.96
152,57,57,57,0,0,0,0,25.2,33.41,34.92
153,58,58,58,0,0,0,0,29.52,34.08,34.42
154,61,61,61,0,0,0,0,26.66,34.58,35.17
155,62,62,62,0,0,0,0,25.29,34.15,34.55
156,63,63,63,0,0,0,0,31.67,38.34,39.4
157,66,66,66,0,0,0,0,31.33,35.79,37.53
158,67,67,67,0,0,0,0,31.55,35.4,38.17
159,69,69,69,0,0,0,0,29.81,36.72,36.98
160,70,70,70,0,0,0,0,29.32,37.1,41.17
161,72,72,72,0,0,0,0,250.5,332.45,370.38
162,74,74,74,0,0,0,0,106.92,294.96,301.58
