etiqueta,fase,instancias,tps_objetivo,socios,rep,t_inicio,t_fin,tps_total,p50_max_ms,p95_max_ms,error_pct
A_N1_100_r1,A,1,100,2,1,2026-09-23T15:37:24Z,2026-09-23T15:38:36Z,96.0,26,32,0.00
A_N1_100_r2,A,1,100,2,2,2026-09-23T15:39:13Z,2026-09-23T15:40:25Z,96.0,22,25,0.00
A_N1_100_r3,A,1,100,2,3,2026-09-23T15:41:03Z,2026-09-23T15:42:15Z,96.0,20,24,0.00
A_N1_200_r1,A,1,200,2,1,2026-09-23T15:42:53Z,2026-09-23T15:44:04Z,200.0,25,30,0.00
A_N1_200_r2,A,1,200,2,2,2026-09-23T15:44:42Z,2026-09-23T15:45:53Z,200.0,22,26,0.00
A_N1_200_r3,A,1,200,2,3,2026-09-23T15:46:31Z,2026-09-23T15:47:43Z,200.0,27,33,0.00
A_N1_300_r1,A,1,300,2,1,2026-09-23T15:48:20Z,2026-09-23T15:49:33Z,296.0,739,1462,69.36
A_N1_300_r2,A,1,300,2,2,2026-09-23T15:50:12Z,2026-09-23T15:51:25Z,296.0,751,1267,75.50
A_N1_300_r3,A,1,300,2,3,2026-09-23T15:52:02Z,2026-09-23T15:53:16Z,296.0,1027,1601,84.03
A_N1_400_r1,A,1,400,2,1,2026-09-23T15:53:53Z,2026-09-23T15:55:20Z,400.0,4533,7595,100.00
A_N1_400_r2,A,1,400,2,2,2026-09-23T15:55:58Z,2026-09-23T15:57:23Z,400.0,4217,7667,100.00
A_N1_400_r3,A,1,400,2,3,2026-09-23T15:58:01Z,2026-09-23T15:59:27Z,400.0,4193,7699,99.92
A_N2_200_r1,A,2,200,2,1,2026-09-23T16:00:56Z,2026-09-23T16:02:08Z,200.0,30,35,0.00
A_N2_200_r2,A,2,200,2,2,2026-09-23T16:02:49Z,2026-09-23T16:04:01Z,200.0,29,34,0.00
A_N2_200_r3,A,2,200,2,3,2026-09-23T16:04:40Z,2026-09-23T16:05:52Z,200.0,30,35,0.00
A_N2_400_r1,A,2,400,2,1,2026-09-23T16:06:31Z,2026-09-23T16:07:43Z,400.0,30,37,0.00
A_N2_400_r2,A,2,400,2,2,2026-09-23T16:08:24Z,2026-09-23T16:09:36Z,400.0,29,37,0.00
A_N2_400_r3,A,2,400,2,3,2026-09-23T16:10:15Z,2026-09-23T16:11:27Z,400.0,30,40,0.00
A_N2_600_r1,A,2,600,2,1,2026-09-23T16:12:08Z,2026-09-23T16:13:31Z,599.6,957,8745,67.36
